custom_xmltv_id,uhf_pk,category,name,target_xmltv_id,target_name,target_country,target_guide_sites,source_epg_channel_id,logo_url
uhf:1901,1901,Canada,Canada- Love Nature,CA:LoveNature.ca,Love Nature,CA,dsmart.com.tr;i.mjh.nz;m.tv.sms.cz;mncvision.id;mujtvprogram.cz;musor.tv;mysky.com.ph;mytvsuper.com;nowplayer.now.com;ontvtonight.com;playtv.unifi.com.my;plex.tv;pluto.tv;programetv.ro;singtel.com;turksatkablo.com.tr;tv.blue.ch;tv.dir.bg;tv.mail.ru;tv.movistar.com.pe;tv.nu;tvgids.nl;tvhebdo.com;tvpassport.com;tvplus.com.tr;tvtv.us;visionplus.id;xumo.tv;ziggogo.tv,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1864,1864,Canada,Canada- METEO QC,CA:MeteoMedia.ca,MeteoMedia,CA,tvhebdo.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1862,1862,Canada,Canada- MOVIE TIME 1 Ca,CA:MovieTime.ca,MovieTime,CA,ontvtonight.com;tvhebdo.com;tvpassport.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1919,1919,Canada,Canada- Makeful,CA:Makeful.ca,Makeful,CA,ontvtonight.com;tvpassport.com;tvtv.us,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1861,1861,Canada,Canada- NAT GEO WILD Ca,CA:WildTV.ca,Wild TV,CA,distro.tv;m.tv.sms.cz;tv.nu;tvhebdo.com;tvpassport.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1860,1860,Canada,Canada- NATIONAL GEOGRAPHIC Ca,CA:NationalGeographic.ca,National Geographic,CA,tvhebdo.com;tvpassport.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1855,1855,Canada,Canada- PRISE 2 QC,CA:Prise2.ca,Prise 2,CA,ontvtonight.com;tvhebdo.com;tvpassport.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1853,1853,Canada,Canada- RDS 2 QC,CA:RDS2.ca,RDS 2,CA,tvhebdo.com;tvpassport.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1852,1852,Canada,Canada- RDS INFO QC,CA:RDSInfo.ca,RDS Info,CA,ontvtonight.com;tvhebdo.com;tvpassport.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1810,1810,Canada,Canada- RDS Info CA-FR,CA:RDSInfo.ca,RDS Info,CA,ontvtonight.com;tvhebdo.com;tvpassport.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1851,1851,Canada,Canada- RDS QC,CA:RDS.ca,RDS,CA,tvhebdo.com;tvpassport.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1850,1850,Canada,Canada- SERIES  QC,CA:SeriesPlus.ca,Series Plus,CA,ontvtonight.com;tvhebdo.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1849,1849,Canada,Canada- SLICE Ca,CA:Slice.ca,Slice,CA,ontvtonight.com;tvhebdo.com;tvpassport.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1809,1809,Canada,Canada- Slice HD CA,CA:Slice.ca,Slice,CA,ontvtonight.com;tvhebdo.com;tvpassport.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1932,1932,Canada,Canada- Sports Net 360 FHD,CA:Sportsnet360.ca,Sportsnet 360,CA,tvhebdo.com;tvpassport.com;watch.sportsnet.ca,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1936,1936,Canada,Canada- Sports Net East HD,CA:Sportsnet.ca,Sportsnet,CA,ontvtonight.com;tvhebdo.com;tvpassport.com;tvtv.us;watch.sportsnet.ca,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1933,1933,Canada,Canada- Sports Net One HD,CA:SportsnetOne.ca,Sportsnet One,CA,ontvtonight.com;tvhebdo.com;tvpassport.com;tvtv.us;watch.sportsnet.ca,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1935,1935,Canada,Canada- Sports Net Ontario HD,CA:Sportsnet.ca,Sportsnet,CA,ontvtonight.com;tvhebdo.com;tvpassport.com;tvtv.us;watch.sportsnet.ca,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1808,1808,Canada,Canada- Sports Net Pacific HD CA,CA:Sportsnet.ca,Sportsnet,CA,ontvtonight.com;tvhebdo.com;tvpassport.com;tvtv.us;watch.sportsnet.ca,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1934,1934,Canada,Canada- Sports Net World HD,CA:SportsnetWorld.ca,Sportsnet World,CA,tvhebdo.com;tvpassport.com;tvtv.us;watch.sportsnet.ca,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1793,1793,Canada,Canada- Super Ecran 1 (FR),CA:SuperEcran1.ca,Super Ecran 1,CA,tvhebdo.com;tvpassport.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1922,1922,Canada,Canada- Super Ecran 2 (FR),CA:SuperEcran2.ca,Super Ecran 2,CA,ontvtonight.com;tvhebdo.com;tvpassport.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1923,1923,Canada,Canada- Super Ecran 3 (FR),CA:SuperEcran3.ca,Super Ecran 3,CA,tvhebdo.com;tvpassport.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1924,1924,Canada,Canada- Super Ecran 4 (FR),CA:SuperEcran4.ca,Super Ecran 4,CA,tvhebdo.com;tvpassport.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1842,1842,Canada,Canada- TREEHOUSE Ca,CA:TreehouseTV.ca,Treehouse TV,CA,ontvtonight.com;tvhebdo.com;tvpassport.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1805,1805,Canada,Canada- TSN 1 HD CA,CA:TSN1.ca,TSN1,CA,epg.iptvx.one;tvhebdo.com;tvpassport.com;tvtv.us,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1804,1804,Canada,Canada- TSN 2 HD CA,CA:TSN2.ca,TSN2,CA,epg.iptvx.one;tvhebdo.com;tvpassport.com;tvtv.us,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1803,1803,Canada,Canada- TSN 3 HD CA,CA:TSN3.ca,TSN3,CA,epg.iptvx.one;tvhebdo.com;tvpassport.com;tvtv.us,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1802,1802,Canada,Canada- TSN 4 HD CA,CA:TSN4.ca,TSN4,CA,epg.iptvx.one;tvhebdo.com;tvpassport.com;tvtv.us,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1801,1801,Canada,Canada- TSN 5 HD CA,CA:TSN5.ca,TSN5,CA,epg.iptvx.one;tvhebdo.com;tvpassport.com;tvtv.us,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1840,1840,Canada,Canada- TV5 QUEBEC QC,CA:TV5QuebecCanada.ca,TV5 Quebec Canada,CA,ontvtonight.com;tvhebdo.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1839,1839,Canada,Canada- TVA SPORTS QC,CA:TVASports.ca,TVA Sports,CA,tvhebdo.com;tvpassport.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1925,1925,Canada,Canada- Teletoon (FR),CA:TeletoonFrench.ca,Teletoon French,CA,tvhebdo.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1931,1931,Canada,Canada- Unis_TV_(FR),CA:Unis.ca,Unis,CA,tvhebdo.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1838,1838,Canada,Canada- VISION TV Ca,CA:SaltPlusLightTelevision.ca,Salt + Light Television,CA,ontvtonight.com;tvhebdo.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1897,1897,Canada,Canada- W_NETWORK,CA:WNetwork.ca,W Network,CA,ontvtonight.com;tvhebdo.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1895,1895,Canada,Canada- Wild TV,CA:WildTV.ca,Wild TV,CA,distro.tv;m.tv.sms.cz;tv.nu;tvhebdo.com;tvpassport.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1888,1888,Canada,Canada- YTV,CA:YTV.ca,YTV,CA,ontvtonight.com;tvhebdo.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1834,1834,Canada,Canada- ZESTE QC,CA:Zeste.ca,Zeste,CA,ontvtonight.com;tvhebdo.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1848,1848,Canada,Canada- crave1,CA:Crave1.ca,Crave 1,CA,tvhebdo.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
uhf:1939,1939,Canada,Canada-Family jr,CA:FamilyJr.ca,Family Jr,CA,tvhebdo.com;tvpassport.com,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
