uhf_pk,type,category,name,original_name,epg_channel_id,logo_url
1824,0,Canada,Canada- CTV Comedy HD  ca,Canada- CTV Comedy HD  ca,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1918,0,Canada,Canada- CTV Drama,Canada- CTV Drama,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1875,0,Canada,Canada- CTV MONTREAL Ca,Canada- CTV MONTREAL Ca,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1795,0,Canada,Canada- CTV News HD,Canada- CTV News HD,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1821,0,Canada,Canada- CTV News Live Events 3 HD CA,Canada- CTV News Live Events 3 HD CA,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1915,0,Canada,Canada- CTV TORONTO,Canada- CTV TORONTO,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1916,0,Canada,Canada- CTV VANCOUVER,Canada- CTV VANCOUVER,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1899,0,Canada,Canada- CTV2 OTTAWA,Canada- CTV2 OTTAWA,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1921,0,Canada,Canada- CTV2 OTTAWA,Canada- CTV2 OTTAWA,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1926,0,Canada,Canada- Canal Savoir,Canada- Canal Savoir,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1825,0,Canada,Canada- City Vancouver FHD CA,Canada- City Vancouver FHD CA,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1896,0,Canada,Canada- DEJAVIEW,Canada- DEJAVIEW,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1874,0,Canada,Canada- DISNEY Ca,Canada- DISNEY Ca,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1873,0,Canada,Canada- DISNEY JR Ca,Canada- DISNEY JR Ca,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1820,0,Canada,Canada- Discovery Science CA,Canada- Discovery Science CA,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1819,0,Canada,Canada- Disney HD,Canada- Disney HD,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1818,0,Canada,Canada- Disney JR HD CA,Canada- Disney JR HD CA,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1863,0,Canada,Canada- Diy network,Canada- Diy network,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1817,0,Canada,Canada- E! Entertainment HD CA,Canada- E! Entertainment HD CA,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1887,0,Canada,Canada- FAMILY,Canada- FAMILY,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1815,0,Canada,Canada- FX FHD CA,Canada- FX FHD CA,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1872,0,Canada,Canada- FX HD Ca,Canada- FX HD Ca,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1814,0,Canada,Canada- FXX CA,Canada- FXX CA,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1816,0,Canada,Canada- Fight Network HD CA,Canada- Fight Network HD CA,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1898,0,Canada,Canada- Food Network,Canada- Food Network,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1913,0,Canada,Canada- GLOBAL HALIFAX,Canada- GLOBAL HALIFAX,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1914,0,Canada,Canada- GLOBAL VANCOUVER,Canada- GLOBAL VANCOUVER,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1894,0,Canada,Canada- Game TV,Canada- Game TV,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1798,0,Canada,Canada- Global,Canada- Global,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1871,0,Canada,Canada- HBO 1 Ca,Canada- HBO 1 Ca,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1870,0,Canada,Canada- HBO 2 Ca,Canada- HBO 2 Ca,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1906,0,Canada,Canada- HGTV,Canada- HGTV,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1869,0,Canada,Canada- HISTORIA QC,Canada- HISTORIA QC,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1902,0,Canada,Canada- History Channel,Canada- History Channel,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1867,0,Canada,Canada- ICI VANCOUVER QC,Canada- ICI VANCOUVER QC,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1890,0,Canada,Canada- KNOWLEDGE KIDS,Canada- KNOWLEDGE KIDS,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1866,0,Canada,Canada- LCN QC,Canada- LCN QC,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1865,0,Canada,Canada- LIFETIME Ca,Canada- LIFETIME Ca,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1813,0,Canada,Canada- Lifetime FHD CA,Canada- Lifetime FHD CA,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1901,0,Canada,Canada- Love Nature,Canada- Love Nature,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1864,0,Canada,Canada- METEO QC,Canada- METEO QC,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1930,0,Canada,Canada- MOI et CIE (FR),Canada- MOI et CIE (FR),,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1862,0,Canada,Canada- MOVIE TIME 1 Ca,Canada- MOVIE TIME 1 Ca,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1903,0,Canada,Canada- MTV,Canada- MTV,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1919,0,Canada,Canada- Makeful,Canada- Makeful,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1929,0,Canada,Canada- Musique Plus (FR),Canada- Musique Plus (FR),,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1861,0,Canada,Canada- NAT GEO WILD Ca,Canada- NAT GEO WILD Ca,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1860,0,Canada,Canada- NATIONAL GEOGRAPHIC Ca,Canada- NATIONAL GEOGRAPHIC Ca,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1812,0,Canada,Canada- NTV News HD CA,Canada- NTV News HD CA,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1859,0,Canada,Canada- OLN Ca,Canada- OLN Ca,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1858,0,Canada,Canada- OMNI 2 HD Ca,Canada- OMNI 2 HD Ca,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1857,0,Canada,Canada- OWN HD Ca,Canada- OWN HD Ca,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1856,0,Canada,Canada- PEACHTREE Ca,Canada- PEACHTREE Ca,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1855,0,Canada,Canada- PRISE 2 QC,Canada- PRISE 2 QC,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1811,0,Canada,Canada- Peachtree HD CA,Canada- Peachtree HD CA,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1854,0,Canada,Canada- RDI QC,Canada- RDI QC,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1853,0,Canada,Canada- RDS 2 QC,Canada- RDS 2 QC,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1852,0,Canada,Canada- RDS INFO QC,Canada- RDS INFO QC,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1810,0,Canada,Canada- RDS Info CA-FR,Canada- RDS Info CA-FR,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
